
35;N262;89331042120317900000;A055K31;06 18 54 38 06;ID : 20 Port : 2508;DH-622-PB;EN SERVICE;0;27;TERBERG;PME Flux continu;N/A;
36;N263;89331013070784700000;A05GXC1;06 18 54 37 07;ID : 23 Port : 2532;DN-896-XY;EN SERVICE;;28;TERBERG;PME Flux continu;N/A;
37;N264;89331013070784700000;A05GVW1;06 18 54 37 06;ID : 24 Port : 2553;DN-911-YY;EN SERVICE;;29;TERBERG;PME Flux continu;N/A;
38;N265;89331042120317900000;AO5KDR1;06 18 54 38 32;ID : 67 Port : 2517;DT-706-NW;EN SERVICE;;30;TERBERG;PME Flux continu;N/A;
39;N266;89331042120317900000;AO5MOS2;06 18 54 37 72;ID : 996591 Port : 2526;DW-906-JF;EN SERVICE;;31;TERBERG;PME Flux continu;N/A;
40;N267;89331013070784600000;A05PH82;06 18 54 37 22;ID : 70 Port : 2506;DW-773-MR;EN SERVICE;;32;TERBERG;PME Flux continu;N/A;
41;N268;89331013070784700000;A05PH02;06 18 54 36 93;ID : 74 Port : 2535;DW-893-JE;EN SERVICE;;33;TERBERG;PME Flux continu;N/A;
42;N269;89331042120317900000;AO5LUP2;06 18 54 38 30;ID : 62 Port : 2536;DW-178-JG;EN SERVICE;;34;TERBERG;PME Flux continu;N/A;
43;N270;89331042120317900000;AO5LWC2;06 18 54 37 69;ID : 64 Port : 2540;DW-913-JC;EN SERVICE;PB RFID PAS D INFO;35;TERBERG;PME Flux continu;N/A;
44;N271;89331042120317900000;AO5MOT1;06 18 54 38 17;ID : 65 Port : 2505;DW-162-ZA;EN SERVICE;;36;TERBERG;PME Flux continu;N/A;
45;N272;89331042120317900000;A05LV51;06 18 54 37 67;ID : 65 Port : 2560;DW-911-YZ;EN SERVICE;PB RFID PAS D INFO;37;TERBERG;PME Flux continu;N/A;
46;N273;89331042160101500000;A05XDJ1;06 18 54 37 51;ID : XX Port : 2520;EE-940-QG;EN SERVICE;NA;38;TERBERG;PME Flux continu;N/A;
47;N274;89331042120317900000;A05TN91;06 18 54 38 35;ID : XX Port : 2520;EF-879-WN;EN SERVICE;Pas de syst?me RFID;39;IRIDE;PME Flux continu;N/A;
48;N275;89331042120311000000;A05XV42;06 27 40 15 56;ID : XX Port : 2520;EJ-003-WY;EN SERVICE;;40;TERBERG;PME Flux continu;N/A;
49;N276;89331042120317900000;A05XT11;06 18 54 37 92;ID : XX Port : 2520;EQ-667-CV;EN SERVICE;;41;TERBERG;PME Flux continu;N/A;
50;N277;89331042120317900000;A05XT51;06 18 54 38 18;ID : XX Port : 2520;ES-056-GY;EN SERVICE;;42;TERBERG;PME Flux continu;N/A;
51;N278;89331042307078400000;A060251;06 17 92 21 91;ID : XX Port : 2520;ET-851-HX;EN SERVICE;;43;TERBERG;PME Flux continu;N/A;
52;N283;89331013070784700000;A05TN71;06 17 92 22 12;ID : 895380 Port : 2516;N227 EV-098-BM;EN SERVICE;PB RFID DEPUIS RECEP;44;TERBERG;PME Flux continu;N/A;
53;N284;89333101307078400000;A067PS2;06 18 54 37 26;ID : 155 Port : 2520;N282 EV-011-BY;EN SERVICE;PB RFID DEPUIS RECEP;46;TERBERG;PME Flux continu;N/A;
54;N285;89331042120317900000;A067Q02;06 18 54 37 95;ID : 154 Port : 2520;N281 EV-092-LZ;EN SERVICE;PB RFID DEPUIS RECEP;45;TERBERG;PME Flux continu;N/A;
55;N286;89331042120317900000;En attente reception;06 18 54 37 89;ID : 152 Port : 2520;N279;EN SERVICE;;47;TERBERG;PME Flux continu;N/A;
56;N287;89331042120317900000;En attente reception;06 18 54 37 77;ID : 153 Port : 2520;N280;EN SERVICE;;48;TERBERG;PME Flux continu;N/A;
